ACK_ID,SF_PLAN_YEAR_BEGIN_DATE,SF_BUSINESS_CODE,SF_SPONS_US_ADDRESS1,SF_SPONS_US_CITY,SF_SPONS_US_STATE,SF_TOT_PARTCP_BOY_CNT,SF_SPONS_US_ZIP,SF_TOT_ASSETS_EOY_AMT
20240702171951NAL0003756787001,2023-01-01,621310.0,1499 CROSSINGS CENTRE DRIVE,FOREST,VA,4.0,24551,153129.0
20240703103134NAL0004362707001,2024-01-01,424300.0,2895 W CAPOVILLA AVE,LAS VEGAS,NV,6.0,89119,0.0
20240703173131NAL0014023106001,2023-01-01,238220.0,1143 W. LINCOLN ST.,BANNING,CA,22.0,92220,660508.0
20240503103850NAL0035224688001,2023-01-01,621320.0,6361 MORNINGSIDE DRIVE,HUNTINGTON BEACH,CA,3.0,92648,1410606.0
20240503121718NAL0019010321001,2023-01-01,541110.0,"500 SOUTH GRAND AVENUE, SUITE 1310",LOS ANGELES,CA,3.0,90071,0.0
20240505171757NAL0027547136001,2023-01-01,711510.0,"8306 WILSHIRE BLVD., PMB1012",BEVERLY HILLS,CA,3.0,90211,922678.0
20240506155301NAL0029195008001,2023-01-01,531210.0,U265,REDLANDS,CA,1.0,923736109,354753.0
20240222154237NAL0002279251001,2023-01-01,812990.0,PO BOX 1013,SYOSSET,NY,4.0,117910080,2183462.0
20240222161038NAL0004949072001,2023-01-01,531210.0,2870 GRAFTON WAY,SAN JOSE,CA,2.0,95148,0.0
20240229154209NAL0015714849001,2023-01-01,322200.0,3435 MADISON STREET,SKOKIE,IL,19.0,600762957,76722.0
20240301130223NAL0010874211001,2023-01-01,541600.0,2810 N. JEFFERSON STREET,SPOKANE,WA,3.0,99205,131637.0
20240319151307NAL0000963553001,2023-01-01,621210.0,8969 COMPLEX DRIVE,SAN DIEGO,CA,10.0,92123,2525740.0
20240320071835NAL0002320625001,2023-01-01,541110.0,1801 ORANGE TREE LANE - SUITE 230,REDLANDS,CA,8.0,92374,1539637.0
20240321132322NAL0006811138001,2023-10-15,324120.0,1707 TIFFIN ROAD,BUCYRUS,OH,3.0,448201247,0.0
20240320231359NAL0003597905001,2023-01-01,523900.0,"111 N. SEPULVEDA BLVD, SUITE 250",MANHATTAN BEACH,CA,3.0,90266,847752.0
20240507122937NAL0024564435001,2023-01-01,621111.0,"4121 FAIRVIEW AVENUE, SUITE 201",DOWNERS GROVE,IL,5.0,60515,515545.0
20240507123414NAL0024565347002,2023-01-01,621111.0,19 EAST GENESEE ST,AUBURN,NY,11.0,13021,416389.0
20240507154732NAL0024859027001,2023-01-01,621111.0,4510 MEDICAL CENTER DR SUITE 208,MCKINNEY,TX,7.0,75069,946701.0
20240616110243NAL0000200977001,2023-01-01,238210.0,P. O. BOX 11195,FAIRFIELD,NJ,6.0,07004,786434.0
20240616110706NAL0000204993001,2023-01-01,423400.0,1033 ROUTE 46 E,CLIFTON,NJ,5.0,07013,1425223.0
20240616110755NAL0000205665001,2023-01-01,423400.0,1033 ROUTE 46 EAST,CLIFTON,NJ,8.0,07013,1277164.0
20240616111730NAL0000216259001,2023-01-01,517000.0,4980 S. HWY A1A,MELBOURNE BEACH,FL,4.0,32951,4780075.0
20240617151103NAL0001646609001,2023-01-01,236200.0,P.O. BOX 30670,ALBUQUERQUE,NM,13.0,87190,451224.0
20240617200812NAL0001270755001,2023-01-01,621111.0,855 EATON AVENUE,HAMILTON,OH,5.0,45013,1043502.0
20240618110956NAL0002082385001,2023-01-01,238900.0,215 INDUSTRIAL DRIVE,ARLINGTON,WI,13.0,53911,1959531.0
20240618111134NAL0001804435001,2023-01-01,621111.0,205 E. HIRST ROAD,PURCELLVILLE,VA,6.0,201326199,1412031.0
20240618111735NAL0002533873001,2023-01-01,531210.0,"923 E. VALLEY BLVD., #109",SAN GABRIEL,CA,5.0,91776,620652.0
20240618112031NAL0003319728001,2024-01-01,541110.0,4720 JENN DRIVE,MYRTLE BEACH,SC,7.0,29577,0.0
20240619070539NAL0004804672001,2024-01-01,722513.0,21305 MEADOWS EDGE LANE,STRONGSVILLE,OH,1.0,44149,0.0
20240619122513NAL0005208416001,2023-01-01,541990.0,5016 N PARKWAY CALABASAS,CALABASAS,CA,3.0,91302,260269.0
20240620130934NAL0001875712001,2023-01-01,722511.0,506 NORTH JEFFERSON STREET,ALBANY,GA,13.0,31701,708093.0
20240620184536NAL0002763504001,2023-01-01,541330.0,2615 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,4.0,921083713,552902.0
20240621084043NAL0001541427001,2023-01-01,531390.0,"25 SE 2ND AVE, SUITE 305",MIAMI,FL,4.0,33131,722022.0
20240701155120NAL0002976723001,2023-01-01,813000.0,P.O. BOX 70,GUTHRIE,OK,6.0,730440070,666059.0
20240701155120NAL0002976723002,2023-01-01,541110.0,222 PACIFIC COAST HIGHWAY,EL SEGUNDO,CA,13.0,90245,3024326.0
20240701141341NAL0008157602001,2023-01-01,424990.0,303 FIFTH AVENUE - SUITE 1402,NEW YORK,NY,6.0,10016,1418314.0
20240702064853NAL0006870800001,2023-01-01,541310.0,39 FORREST STREET,MILL VALLEY,CA,9.0,94941,1682552.0
20240703110452NAL0009270896001,2023-01-01,541512.0,"501 W. BROADWAY, SUITE 800",SAN DIEGO,CA,6.0,92101,2506950.0
20240703110518NAL0004383843001,2023-01-01,561790.0,558 UNION AVENUE,WESTBURY,NY,7.0,11590,875589.0
20240703161603NAL0004683171001,2023-01-01,621111.0,201 SOUTH LIVINGSTON AVE.- SUITE 2G,LIVINGSTON,NJ,2.0,07039,11973174.0
20240703191617NAL0007095377001,2023-01-01,621111.0,"1245 WILSHIRE BLVD., SOUTH TOWER ST",LOS ANGELES,CA,7.0,90017,1600138.0
20240703192315NAL0007108561001,2023-01-01,541110.0,531 S CONVENT AVE.,TUCSON,AZ,11.0,85701,2956486.0
20240703194731NAL0010440240001,2023-01-01,621310.0,657 CENTRAL AVE,CEDARHURST,NY,2.0,11516,419837.0
20240503214940NAL0020986067001,2023-01-01,323100.0,1640 S. SEPULVEDA BLVD.,LOS ANGELES,CA,12.0,90025,844571.0
20240222165540NAL0005055264001,2023-05-01,423500.0,350 HEARST DRIVE,OXNARD,CA,7.0,930305175,0.0
20240222173246NAL0005537664001,2023-01-01,424400.0,2001 SOUTH PLUM STREET,SEATTLE,WA,8.0,98144,1994100.0
20240228121431NAL0013125953001,2023-01-01,541330.0,7000 NORTH FEDERAL HIGHWAY - 2ND FL,BOCA RATON,FL,3.0,33487,0.0
20240228122950NAL0016721472001,2023-01-01,541910.0,31 SAINT JAMES AVENUE,BOSTON,MA,7.0,02116,368320.0
20240228125321NAL0008538211001,2023-01-01,523900.0,24040 CAMINO DEL AVION,DANA POINT,CA,3.0,92629,843996.0
20240318165052NAL0009981490001,2023-01-01,524210.0,"18 E BROADWAY, SUITE 609",NEW YORK,NY,6.0,10002,665683.0
20240318172903NAL0007411536001,2023-01-01,621111.0,730 NORTH LOOP,HOUSTON,TX,10.0,77009,918357.0
20240319160532NAL0001238176001,2023-01-01,424300.0,1400 RAILROAD STREET,PASO ROBLES,CA,4.0,93446,894245.0
20240320074444NAL0002223281001,2023-01-01,621111.0,8316 ARLINGTON BOULEVARD,FAIRFAX,VA,7.0,22031,261195.0
20240124135257NAL0007628803001,2023-01-01,541110.0,"112 SW 8TH AVE., STE. 1000",AMARILLO,TX,24.0,79101,0.0
20240125082940NAL0026250258001,2023-01-01,524210.0,"1 BAXTER WAY, SUITE 130",WESTLAKE VILLAGE,CA,55.0,91362,2366841.0
20240507155957NAL0014384051001,2023-01-01,523900.0,"1432 EDINGER AVENUE, SUITE 200",TUSTIN,CA,14.0,92780,1294585.0
20240616144143NAL0001184562001,2024-01-01,532400.0,"2900 EAST CAUSEWAY APPROACH, STE D",MANDEVILLE,LA,3.0,70448,0.0
20240616153939NAL0001328002001,2024-01-01,522300.0,"1040 INDIAN TRAIL ROAD, SUITE B1",LILBURN,GA,20.0,30047,0.0
20240617172302NAL0001420753001,2023-01-01,621210.0,4724 WOODEMERE BLVD,MONTGOMERY,AL,4.0,36106,110692.0
20240618133535NAL0003992912001,2023-01-01,541990.0,10 MARIONS LANE,FORT SALONGA,NY,5.0,11768,8896587.0
20240619205615NAL0000564307001,2023-01-01,621111.0,6627 CENTERVILLE BUSINESS PKWY,DAYTON,OH,9.0,45459,709336.0
