Business_Code,Main_code,GA_code,Main_Industry,General_Activity,Principal_Activity
111100,110000,111000,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed & Grain Farming
111210,110000,111000,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable & Melon Farming (including potatoes & yams)
111300,110000,111000,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit & Tree Nut Farming
111400,110000,111000,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, & Floriculture Production"
111900,110000,111000,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Other Crop Farming (including tobacco, cotton, sugarcane, hay, peanut, sugar beet, & all other crop farming)"
112111,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Beef Cattle Ranching & Farming
112112,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Cattle Feedlots
112120,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Dairy Cattle & Milk Production
112210,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Hog & Pig Farming
112300,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Poultry & Egg Production
112400,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Sheep & Goat Farming
112510,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Aquaculture (including shellfish & finfish farms & hatcheries)
112900,110000,112000,"Agriculture, Forestry, Fishing and Hunting",Animal Production,Other Animal Production
113110,110000,113000,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Timber Tract Operations
113210,110000,113000,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Forest Nurseries & Gathering of Forest Products
113310,110000,113000,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Logging
114110,110000,114000,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing
114210,110000,114000,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Hunting & Trapping
115110,110000,115000,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,"Support Activities for Crop Production (including cotton ginning, soil preparation, planting, & cultivating)"
115210,110000,115000,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Animal Production
115310,110000,115000,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities For Forestry
211110,210000,211000,Mining,Mining,Oil & Gas Extraction
212110,210000,212000,Mining,Mining,Coal Mining
212200,210000,212000,Mining,Mining,Metal Ore Mining
212310,210000,212000,Mining,Mining,Stone Mining & Quarrying
212320,210000,212000,Mining,Mining,"Sand, Gravel, Clay, & Ceramic & Refractory Minerals Mining & Quarrying"
212390,210000,212000,Mining,Mining,Other Nonmetallic Mineral Mining & Quarrying
213110,210000,213000,Mining,Mining,Support Activities for Mining
221100,220000,221000,Utilities,Utilities,"Electric Power Generation, Transmission & Distribution"
221210,220000,221000,Utilities,Utilities,Natural Gas Distribution
221300,220000,221000,Utilities,Utilities,"Water, Sewage, & Other Systems"
221500,220000,221000,Utilities,Utilities,Combination Gas & Electric
236110,230000,236000,Construction,Construction of Buildings,Residential Building Construction
236200,230000,236000,Construction,Construction of Buildings,Nonresidential Building Construction
237100,230000,237000,Construction,Heavy and Civil Engineering Construction,Utility System Construction
237210,230000,237000,Construction,Heavy and Civil Engineering Construction,Land Subdivision
237310,230000,237000,Construction,Heavy and Civil Engineering Construction,"Highway, Street, & Bridge Construction"
237990,230000,237000,Construction,Heavy and Civil Engineering Construction,Other Heavy & Civil Engineering Construction
238100,230000,238000,Construction,Specialty Trade Contractors,"Foundation, Structure, & Building Exterior Contractors (including framing carpentry, masonry, glass, roofing, & siding)"
238210,230000,238000,Construction,Specialty Trade Contractors,Electrical Contractors
238220,230000,238000,Construction,Specialty Trade Contractors,"Plumbing, Heating, & Air"
238290,230000,238000,Construction,Specialty Trade Contractors,Other Building Equipment Contractors
238300,230000,238000,Construction,Specialty Trade Contractors,"Building Finishing Contractors (including drywall, insulation, painting, wallcovering, flooring, tile, & finish carpentry)"
238900,230000,238000,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors (including site preparation)
311110,310000,311000,Manufacturing,Food Manufacturing,Animal Food Mfg
311200,310000,311000,Manufacturing,Food Manufacturing,Grain & Oilseed Milling
311300,310000,311000,Manufacturing,Food Manufacturing,Sugar & Confectionery Product Mfg
311400,310000,311000,Manufacturing,Food Manufacturing,Fruit & Vegetable Preserving & Specialty Food Mfg
311500,310000,311000,Manufacturing,Food Manufacturing,Dairy Product Mfg
311610,310000,311000,Manufacturing,Food Manufacturing,Animal Slaughtering and Processing
311710,310000,311000,Manufacturing,Food Manufacturing,Seafood Product Preparation & Packaging
311800,310000,311000,Manufacturing,Food Manufacturing,Bakeries & Tortilla Mfg
311900,310000,311000,Manufacturing,Food Manufacturing,"Other Food Mfg (including coffee, tea, flavorings & seasonings)"
312110,310000,312000,Manufacturing,Beverage and Tobacco Product Manufacturing,Soft Drink & Ice Mfg
312120,310000,312000,Manufacturing,Beverage and Tobacco Product Manufacturing,Breweries
312130,310000,312000,Manufacturing,Beverage and Tobacco Product Manufacturing,Wineries
312140,310000,312000,Manufacturing,Beverage and Tobacco Product Manufacturing,Distilleries
312200,310000,312000,Manufacturing,Beverage and Tobacco Product Manufacturing,Tobacco Manufacturing
313000,310000,313000,Manufacturing,Textile Mills and Textile Product Mills,Textile Mills
314000,310000,314000,Manufacturing,Textile Mills and Textile Product Mills,Textile Product Mills
315100,310000,315000,Manufacturing,Apparel Manufacturing,Apparel Knitting Mills
315210,310000,315000,Manufacturing,Apparel Manufacturing,Cut & Sew Apparel Contractors
315220,310000,315000,Manufacturing,Apparel Manufacturing,Men's & Boys' Cut & Sew Apparel Mfg
315230,310000,315000,Manufacturing,Apparel Manufacturing,Women's & Girls' Cut & Sew Apparel Mfg
315290,310000,315000,Manufacturing,Apparel Manufacturing,Other Cut & Sew Apparel Mfg
