zip,geoid,res_ratio,bus_ratio,oth_ratio,tot_ratio,city,state
17516,42071,1.0,1.0,1.0,1.0,CONESTOGA,PA
17517,42071,1.0,1.0,1.0,1.0,DENVER,PA
17518,42071,1.0,1.0,0.0,1.0,DRUMORE,PA
17519,42071,1.0,1.0,1.0,1.0,EAST EARL,PA
17520,42071,1.0,1.0,1.0,1.0,EAST PETERSBURG,PA
17521,42071,0.0,0.0,1.0,1.0,ELM,PA
17522,42071,1.0,1.0,1.0,1.0,EPHRATA,PA
17528,42071,0.0,0.0,1.0,1.0,GOODVILLE,PA
17529,42071,1.0,1.0,1.0,1.0,GORDONVILLE,PA
17532,42071,1.0,1.0,1.0,1.0,HOLTWOOD,PA
17533,42071,0.0,0.0,1.0,1.0,HOPELAND,PA
17534,42071,1.0,1.0,1.0,1.0,INTERCOURSE,PA
17535,42071,1.0,1.0,1.0,1.0,KINZERS,PA
17537,42071,0.0,0.0,1.0,1.0,LAMPETER,PA
17538,42071,1.0,1.0,1.0,1.0,LANDISVILLE,PA
17540,42071,1.0,1.0,1.0,1.0,LEOLA,PA
17543,42071,1.0,1.0,1.0,1.0,LITITZ,PA
17547,42071,1.0,1.0,1.0,1.0,MARIETTA,PA
17550,42071,1.0,1.0,1.0,1.0,MAYTOWN,PA
17551,42071,1.0,1.0,1.0,1.0,MILLERSVILLE,PA
17552,42071,1.0,1.0,1.0,1.0,MOUNT JOY,PA
17554,42071,1.0,1.0,1.0,1.0,MOUNTVILLE,PA
17557,42071,1.0,1.0,1.0,1.0,NEW HOLLAND,PA
17560,42071,1.0,1.0,1.0,1.0,NEW PROVIDENCE,PA
17562,42071,1.0,1.0,1.0,1.0,PARADISE,PA
17563,42071,1.0,1.0,1.0,1.0,PEACH BOTTOM,PA
17564,42071,0.0,0.0,1.0,1.0,PENRYN,PA
17565,42071,1.0,1.0,1.0,1.0,PEQUEA,PA
17566,42071,1.0,1.0,1.0,1.0,QUARRYVILLE,PA
17567,42071,1.0,1.0,1.0,1.0,REAMSTOWN,PA
17568,42071,1.0,0.0,1.0,1.0,REFTON,PA
17570,42071,0.0,0.0,1.0,1.0,RHEEMS,PA
17572,42071,1.0,1.0,1.0,1.0,RONKS,PA
17575,42071,0.0,0.0,1.0,1.0,SILVER SPRING,PA
17576,42071,1.0,1.0,1.0,1.0,SMOKETOWN,PA
17578,42071,1.0,1.0,1.0,1.0,STEVENS,PA
17579,42071,1.0,1.0,1.0,1.0,STRASBURG,PA
17580,42071,0.0,0.0,1.0,1.0,TALMAGE,PA
17581,42071,1.0,1.0,1.0,1.0,TERRE HILL,PA
17582,42071,1.0,1.0,1.0,1.0,WASHINGTON BORO,PA
17584,42071,1.0,1.0,1.0,1.0,WILLOW STREET,PA
17585,42071,0.0,0.0,1.0,1.0,WITMER,PA
17601,42071,1.0,1.0,1.0,1.0,LANCASTER,PA
17602,42071,1.0,1.0,1.0,1.0,LANCASTER,PA
17603,42071,1.0,1.0,1.0,1.0,LANCASTER,PA
17604,42071,1.0,1.0,1.0,1.0,LANCASTER,PA
17605,42071,1.0,1.0,1.0,1.0,LANCASTER,PA
17608,42071,1.0,1.0,1.0,1.0,LANCASTER,PA
17699,42071,0.0,1.0,0.0,1.0,LANCASTER,PA
17702,42081,1.0,1.0,1.0,1.0,WILLIAMSPORT,PA
17703,42081,1.0,1.0,1.0,1.0,WILLIAMSPORT,PA
17705,42081,0.0,1.0,0.0,1.0,WILLIAMSPORT,PA
17720,42081,1.0,1.0,0.0,1.0,ANTES FORT,PA
17723,42081,1.0,1.0,1.0,1.0,CAMMAL,PA
17726,42035,0.0,1.0,0.0,1.0,CASTANEA,PA
17728,42081,1.0,1.0,1.0,1.0,COGAN STATION,PA
17730,42097,1.0,1.0,0.0,1.0,DEWART,PA
17731,42113,1.0,1.0,0.0,1.0,EAGLES MERE,PA
17735,42015,1.0,1.0,0.0,1.0,GROVER,PA
17737,42081,1.0,1.0,1.0,1.0,HUGHESVILLE,PA
17739,42081,1.0,1.0,0.0,1.0,JERSEY MILLS,PA
17742,42081,1.0,1.0,1.0,1.0,LAIRDSVILLE,PA
17744,42081,1.0,1.0,1.0,1.0,LINDEN,PA
17748,42035,1.0,1.0,0.0,1.0,MC ELHATTAN,PA
17749,42097,1.0,1.0,0.0,1.0,MC EWENSVILLE,PA
17750,42035,0.0,1.0,0.0,1.0,MACKEYVILLE,PA
17751,42035,1.0,1.0,1.0,1.0,MILL HALL,PA
